No.,StatusOrtu,Penghasilan,Status_Rumah,JMotor,Jmobil,DayaLis,KIPK
432,1,3500000,1,1,3,1,0
433,1,10000000,1,2,1,3,0
434,1,4000000,1,1,0,2,1
435,1,3000000,1,2,0,2,0
436,1,7000000,1,4,1,3,0
437,1,5000000,1,2,0,3,0
438,1,10000000,1,2,0,3,0
439,1,4000000,1,2,0,2,0
440,1,8500000,1,2,0,2,0
441,1,8300000,1,3,1,3,0
442,1,50000,1,1,0,1,1
443,1,4500000,1,2,0,1,0
444,1,5000000,1,2,1,3,0
445,1,4500000,0,1,0,1,0
446,1,4000000,1,2,0,1,0
447,1,4500000,1,4,1,3,0
448,4,2500000,1,2,0,2,0
449,1,0,1,0,0,2,1
450,2,2000000,1,2,0,1,0
451,2,400000,1,1,0,1,1
452,2,500000,1,1,0,2,1
453,1,3420300,1,2,0,2,0
454,2,1900000,1,1,0,1,0
455,1,3900000,1,2,1,2,0
456,1,5200000,0,3,0,2,0
457,1,300000,1,2,0,1,1
458,1,10000000,1,2,0,3,0
459,1,12500000,0,3,1,2,0
460,1,3000000,1,2,0,3,0
461,1,1500000,1,2,0,2,1
462,1,900000,1,1,0,1,1
463,1,1000000,0,1,0,1,0
464,1,2000000,1,2,0,1,0
465,1,3000000,1,1,0,3,1
466,1,9700000,1,3,0,2,0
467,1,4000000,1,3,1,2,0
468,1,10500000,1,3,1,3,0
469,1,1000000,1,2,0,2,0
470,1,25000000,1,1,1,2,0
471,1,0,0,1,0,1,1
472,1,3300000,1,4,1,3,0
473,1,2500000,0,2,0,2,0
474,1,6150000,1,3,0,3,0
475,1,0,1,1,1,3,0
476,1,3000000,1,1,1,2,1
477,1,4800000,1,1,0,1,0
478,1,10000000,1,2,1,3,0
479,1,5000000,0,3,1,2,0
480,1,4000000,1,2,0,3,0
481,1,4600000,1,1,0,2,0
482,1,4000000,0,1,0,2,0
483,1,2500000,1,3,0,2,0
484,1,5577400,1,2,0,2,0
485,1,7000000,1,1,1,3,0
486,2,1000000,1,0,0,2,0
487,1,23708946,1,3,1,3,0
488,1,3500000,1,2,0,2,1
489,4,3000000,0,2,0,2,0
490,4,500000,0,1,0,1,0
491,1,10000000,1,2,1,3,0
492,1,6100000,1,3,1,2,0
493,2,1200000,0,2,0,2,1
494,2,1700000,1,2,0,3,0
495,1,20000000,1,1,1,3,0
496,2,4000000,1,3,1,3,0
497,1,3000000,1,2,1,2,0
498,1,11500000,1,2,0,2,0
499,1,9000000,1,2,0,2,0
500,1,1700000,1,2,0,2,0
501,1,4000000,1,2,0,2,0
502,1,1500000,1,2,0,2,0
503,1,6000000,1,2,0,2,0
504,1,4200000,1,3,1,2,0
505,1,2000000,1,2,0,1,0
506,1,10000000,1,2,0,3,1
507,2,3000000,1,2,0,3,0
508,1,15500000,1,2,1,3,0
509,1,8000000,1,2,0,2,0
510,2,0,1,1,0,1,0
511,1,2400000,1,4,0,2,0
512,1,10000000,0,0,1,3,0
513,1,2000000,1,2,0,2,0
514,1,5000000,1,2,2,2,0
515,1,3000000,1,4,0,3,0
516,1,0,1,1,0,1,0
517,1,6500000,1,2,0,3,0
518,1,5000000,1,2,1,3,0
519,1,3000000,0,2,0,2,0
520,1,4616000,0,2,0,2,1
521,2,2500000,1,1,0,2,0
522,1,0,1,0,2,3,0
